Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
"Salt, sea salt, fleur de sel","Various/Salt, spices and flavours",per 100g edible portion,0,0,0,0,0,0,0,0,0,0,0,95,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,n.d.,0,0,140,37900,57900,110,420,tr.,tr.,3.8,0,n.d.
"Salt, sea salt, standard, white, without iodine and fluoride added","Various/Salt, spices and flavours",per 100g edible portion,0,0,0,0,0,0,0,0,0,0,0,99,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,n.d.,0,0,17,39700,57900,30,37,tr.,tr.,1.8,0,0
"Saltimbocca, pan fried in rapeseed oil HOLL",Meat and offal/Veal,per 100g edible portion,216,11.2,1.8,7.2,1.2,85,0.1,0.1,0,0,28.8,1.7,0,59.9,8,5,3,26,26,0.21,0.3,0.31,0.85,10.09,12.4,1.19,1,0.1,0.61,340,670,1130,9.1,30,250,3,0.2,3.1,n.d.
"Samosa, deep-fried",Prepared dishes/Asian dishes,per 100g edible portion,382,25.3,7.9,12.9,3.3,0,30.8,2.2,28.1,3.3,6.2,0.8,0,34.8,21,11,0,127,127,0.18,0.06,0.13,0,0.9,21.9,0.36,9.8,0,2.29,230,330,530,15,26,88,1.1,2.7,0.6,0.9
Sandwich (baguette bread) with cold cuts,Prepared dishes/Sandwiches,per 100g edible portion,157,7,1.9,2.6,2.1,14,17.3,1.8,15.1,1.5,5.3,0.8,0,69,33,17,1,193,193,0.1,0.05,0.09,0.16,0.78,14.8,0.23,11.8,0.1,1.84,160,330,510,14,14,62,0.6,1.7,0.5,n.d.
Sandwich (baguette bread) with dried meat,Prepared dishes/Sandwiches,per 100g edible portion,141,3.9,0.7,1.1,1.8,14,18.3,1.8,16.1,1.7,7.2,1.2,0,69.1,31,16,1,182,182,0.07,0.05,0.11,0.17,1.37,15.2,0.26,7.7,0,1.93,210,500,610,14,16,73,1,1.2,1,n.d.
Sandwich (baguette bread) with ham,Prepared dishes/Sandwiches,per 100g edible portion,131,3.7,0.7,1.1,1.7,12,17.3,1.8,15.1,1.6,6.3,1.2,0,71.3,29,15,1,171,171,0.19,0.06,0.13,0.03,1.31,14.6,0.24,16.3,0,1.84,200,460,520,15,16,88,0.6,1.7,0.6,n.d.
Sandwich (baguette bread) with luncheon meat,Prepared dishes/Sandwiches,per 100g edible portion,220,9.3,2.2,3.2,3.2,70,25.1,1.1,23.7,1.6,8,1.2,0,56.3,33,25,17,91,91,0.11,0.07,0.1,0.24,0.77,17.4,0.52,9.9,0.6,2.94,150,460,680,17,15,94,0.8,4.9,0.7,n.d.
Sandwich (baguette bread) with mozzarella,Prepared dishes/Sandwiches,per 100g edible portion,163,6.2,1.9,1.7,2.2,12,20.1,1.4,18.5,1.6,6,1,0,66.3,57,39,21,221,221,0.07,0.06,0.08,0.18,0.42,14.8,0.16,8,0.1,2.24,140,410,500,50,14,81,0.7,1.7,0.7,n.d.
Sandwich (baguette bread) with raw ham,Prepared dishes/Sandwiches,per 100g edible portion,165,5.7,1.3,1.9,2.1,19,18.7,1.3,17.2,1.5,8.8,1.4,0,65.5,37,19,1,217,217,0.22,0.07,0.16,0.09,2.31,12.8,0.43,8.9,0.1,2.08,240,540,870,13,17,89,0.9,1.6,0.8,n.d.
Sandwich (baguette bread) with salami,Prepared dishes/Sandwiches,per 100g edible portion,158,6.5,1.7,2.2,2.1,14,18.3,1.8,16.1,1.7,5.8,1.2,0,68,31,16,1,182,182,0.14,0.05,0.1,0.12,1.11,15.5,0.24,9.4,0.2,1.93,180,490,600,14,14,60,0.7,1.3,0.6,n.d.
Sandwich (baguette bread) with semi hard cheese,Prepared dishes/Sandwiches,per 100g edible portion,179,7.6,2.8,1.9,2.3,17,20.1,1.4,18.5,1.6,6.7,1.1,0,64.2,71,53,34,222,222,0.06,0.07,0.08,0.19,0.4,14.5,0.19,8,0.1,2.25,150,440,480,110,17,110,0.7,2.9,0.8,n.d.
Sandwich (baguette bread) with soft cheese,Prepared dishes/Sandwiches,per 100g edible portion,183,7.6,2.6,1.9,2.4,17,21.4,1.2,19.9,1.7,6.3,1.3,0,63.3,59,42,26,200,200,0.07,0.08,0.08,0.2,0.44,18.9,0.23,6.6,0.1,2.42,150,520,580,65,16,82,0.7,3.2,0.7,n.d.
Sandwich (brown bread) with cold cuts,Prepared dishes/Sandwiches,per 100g edible portion,151,7.1,1.9,2.6,2.1,14,15.2,1.8,13.1,1.9,5.5,0.8,0,70.5,33,17,1,193,193,0.13,0.06,0.09,0.16,0.98,18.4,0.25,11.8,0.1,1.81,160,330,500,17,19,83,0.7,1.8,0.7,n.d.
Sandwich (brown bread) with dried meat,Prepared dishes/Sandwiches,per 100g edible portion,134,4,0.7,1.1,1.9,14,16.1,1.8,14,2,7.4,1.2,0,70.7,31,16,1,182,182,0.11,0.06,0.11,0.17,1.58,18.9,0.28,7.7,0,1.9,210,490,590,17,21,96,1.2,1.3,1.2,n.d.
Sandwich (brown bread) with ham,Prepared dishes/Sandwiches,per 100g edible portion,125,3.8,0.7,1.1,1.8,12,15.2,1.8,13.1,1.9,6.4,1.1,0,72.8,29,15,1,171,171,0.22,0.07,0.12,0.03,1.5,18.1,0.26,16.3,0,1.81,210,450,510,18,21,110,0.8,1.8,0.8,n.d.
Sandwich (brown bread) with luncheon meat,Prepared dishes/Sandwiches,per 100g edible portion,210,9.5,2.3,3.3,3.2,70,21.9,1.1,20.6,2.2,8.2,1.1,0,58.6,33,25,17,91,91,0.17,0.09,0.09,0.23,1.08,23,0.55,9.9,0.6,2.9,160,450,660,22,23,130,1.1,5,1,n.d.
Sandwich (brown bread) with mozzarella,Prepared dishes/Sandwiches,per 100g edible portion,156,6.3,1.9,1.7,2.2,12,17.6,1.4,16,2.1,6.1,1,0,68.2,57,39,21,221,221,0.11,0.07,0.07,0.18,0.66,19.1,0.19,8,0.1,2.21,150,400,480,53,20,110,0.9,1.8,0.9,n.d.
Sandwich (brown bread) with raw ham,Prepared dishes/Sandwiches,per 100g edible portion,158,5.8,1.3,1.9,2.1,19,16.4,1.3,14.9,1.9,9,1.3,0,67.2,37,19,1,217,217,0.26,0.08,0.15,0.09,2.53,16.9,0.45,8.9,0.1,2.05,240,540,860,17,23,110,1.2,1.7,1,n.d.
Sandwich (brown bread) with salami,Prepared dishes/Sandwiches,per 100g edible portion,151,6.6,1.7,2.2,2.1,14,16.1,1.8,14,2,5.9,1.2,0,69.6,31,16,1,182,182,0.17,0.06,0.1,0.11,1.32,19.2,0.27,9.4,0.2,1.9,190,480,590,17,20,83,0.9,1.4,0.8,n.d.
Sandwich (brown bread) with semi hard cheese,Prepared dishes/Sandwiches,per 100g edible portion,171,7.7,2.8,1.9,2.3,17,17.5,1.4,16,2.1,6.9,1.1,0,66.1,71,53,34,222,222,0.1,0.08,0.08,0.19,0.64,18.8,0.21,8,0.1,2.22,160,430,470,120,23,130,0.9,3,1.1,n.d.
Sandwich (brown bread) with soft cheese,Prepared dishes/Sandwiches,per 100g edible portion,175,7.7,2.6,1.9,2.5,17,18.7,1.2,17.3,2.1,6.5,1.3,0,65.2,59,42,26,200,200,0.11,0.1,0.08,0.2,0.7,23.6,0.25,6.6,0.1,2.38,150,520,560,69,23,110,1,3.4,0.9,n.d.
Saucisson sausage,Sausages and cold meats/Raw sausage products,per 100g edible portion,403,36.4,13.2,17.2,4.1,73,0.5,0.5,0,0,18.2,2.5,0.1,44.9,5,5,5,0,0,0.72,0.2,0.42,1.61,4.36,2.5,0.52,59.2,0,0.64,330,1000,1470,3.8,21,160,0.9,1.2,1.7,n.d.
"Saucisson sausage, cooked (without addition of fat and salt)",Sausages and cold meats/Raw sausage products,per 100g edible portion,442,39.4,14.3,18.6,4.5,88,0.6,0.6,0,0,21.1,2.6,0.1,38.9,5,5,5,0,0,0.65,0.23,0.38,1.36,3.94,2,0.47,50,0,0.7,330,1020,1770,3.9,26,190,1.1,1.4,2,n.d.
"Sauerkraut, pickled",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,19,0.3,0.1,0,0.2,0,1.7,tr.,tr.,2.2,1.3,1.4,0,91.4,2,1,0,11,8,0.03,0.05,0.17,0,0.2,12,0.2,17,0,0.1,220,550,1160,36,11,30,0.5,3.1,0.3,n.d.
"Sausage salad, prepared",Prepared dishes/Salads,per 100g edible portion,224,21.1,5.4,12.5,1.6,26,1.3,1.1,0.1,0.4,7.1,1.6,0,70.1,13,7,1,75,75,0.18,0.07,0.06,0.29,1.62,5,0.29,21.6,0.4,2.97,140,650,880,13,11,110,0.8,1.2,0.9,n.d.
Sausage Vaudois,Sausages and cold meats/Raw sausage products,per 100g edible portion,358,32.3,12,14.8,2.9,71,0.2,0.2,0,0,16.5,2.1,0,47.9,0,0,tr.,n.d.,n.d.,0.45,0.12,0.21,0.7,4.7,n.d.,0.9,19.5,tr.,tr.,260,830,1280,14,17,170,0.7,n.d.,1.8,9.4
"Sausage, veal",Sausages and cold meats/Boiled sausage products,per 100g edible portion,228,19.2,7.9,9.7,1.9,53,1.2,1.2,0,0,12.5,1.9,0,63.4,19,19,19,n.d.,n.d.,0.16,0.11,0.13,0.6,2.54,n.d.,0.3,5.7,0.8,tr.,150,760,1020,20,12,180,0.5,n.d.,1.5,5.1
"Savoury cheese quiche, baked (with cake dough)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,303,20.8,11.8,5.1,1.3,122,14.5,1.2,13.1,0.6,14.3,0.9,0,49.8,199,192,185,81,81,0.05,0.23,0.08,0.74,0.16,10.2,0.61,0.2,0.9,0.63,130,370,570,360,23,290,0.7,14,2,n.d.
"Savoury cheese quiche, baked (with puff pastry)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,300,21.9,12.4,5.4,1.3,125,11.7,1.2,10.3,0.5,13.8,0.9,0,52.1,210,203,196,86,86,0.05,0.23,0.07,0.74,0.15,9.9,0.59,0.2,0.9,0.63,130,380,570,360,22,290,0.7,14,2,n.d.
"Savoy cabbage, raw",Vegetables/Fresh vegetables,per 100g edible portion,31,0.3,0,0,0.2,0,2.9,2.8,0.1,2.6,2.8,0,0,88.8,10,5,0,58,58,0.09,0.06,0.19,0,0.33,53.4,0.29,64.6,0,2.5,290,7.2,27,50,15,48,0.5,2.6,0.3,0.1
"Savoy cabbage, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,30,0.3,0,0,0.2,0,2.8,2.7,0.1,2.4,2.7,0,0,91.8,9,4,0,53,53,0.08,0.06,0.16,0,0.27,32.4,0.25,35.9,0,2.53,250,6.2,26,48,14,46,0.4,2.5,0.3,0.1
Sbrinz,Milk and dairy products/Hard cheese,per 100g edible portion,415,33.2,19.9,7.8,1.5,100,0,0,0,0,28,1.8,0,31.9,298,288,278,118,118,0.01,0.39,0.1,2.07,0.2,8,0.44,tr.,0.6,0.35,96,710,1090,1030,38,660,0.3,40,4.3,n.d.
Schabziger (Swiss green cheese),Milk and dairy products/Fresh cheese and curds,per 100g edible portion,132,0.5,0.3,0.1,0,2,tr.,tr.,0,0,31.6,4.3,0,58.3,3,3,3,1,1,0.01,0.28,0.05,tr.,tr.,tr.,tr.,tr.,tr.,tr.,140,1740,tr.,860,34,560,0.2,tr.,3.9,n.d.
Schnitzel bread with cocktail sauce,Prepared dishes/Sandwiches,per 100g edible portion,262,11.2,1.1,6.7,2.7,47,25.1,0.5,24.4,1.3,14.6,1.3,0,48.2,13,10,7,39,39,0.08,0.14,0.14,0.41,3.9,16.9,0.6,0.7,0.1,2.64,190,520,790,9.5,19,130,1.5,2.1,1.4,n.d.
Schnitzel bread with tartare sauce,Prepared dishes/Sandwiches,per 100g edible portion,242,10.1,1,6,2.4,53,23.2,0.4,22.5,1.3,13.9,1.2,0,51.8,18,14,9,54,54,0.07,0.14,0.13,0.41,3.62,18.7,0.61,1.9,0.1,2.33,180,480,710,11,18,130,1.4,2.6,1.4,n.d.
Schützenwurst sausage,Sausages and cold meats/Boiled sausage products,per 100g edible portion,244,23,8.5,10.8,2.3,46,0.2,0.2,0,0,9.2,2.1,0,67.6,4,4,4,2,2,0.1,0.1,0.06,0.8,1.78,1.4,0.19,52.2,0,0.31,82,850,1280,5.5,7.3,140,0.9,0.6,1.4,n.d.
"Scrambled egg with herbs, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,141,10,3.5,3.4,1.4,279,1.9,1.6,0.2,0.4,10.6,0.8,0,77.1,168,133,99,416,416,0.08,0.26,0.08,1,0.18,49,1.61,16.3,2.1,1.25,230,310,440,82,15,180,1.9,33,1.1,n.d.
"Scrambled eggs with cheese, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,157,11.6,4.3,3.8,1.5,297,1.3,1.3,0,0,11.8,0.9,0,75.3,116,115,113,12,12,0.07,0.26,0.07,1.12,0.07,39.8,1.69,0.2,2.2,1.01,160,340,490,110,14,210,1.5,36,1.2,n.d.
"Scrambled eggs with ham, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,143,9.7,3.4,3.3,1.3,268,1.3,1.3,0,0,12.8,1,0,76.2,94,94,93,8,8,0.16,0.25,0.11,0.95,0.92,35.2,1.58,9.1,1.9,0.91,200,420,600,62,14,210,1.4,31,1.3,18
"Scrambled eggs with mushrooms, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,127,9,3.1,3,1.3,251,1.5,1.3,0,0.4,9.8,0.7,0,79.5,90,90,89,8,8,0.08,0.26,0.08,0.9,0.61,36.6,1.71,0.6,2.2,0.85,200,270,390,59,12,170,1.4,32,1,n.d.
"Scrambled eggs, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,147,10.8,3.8,3.7,1.5,303,1.3,1.3,0,0,11.2,0.8,0,76.7,109,108,107,9,9,0.08,0.26,0.07,1.09,0.07,40.6,1.73,0.2,2.3,1.02,160,330,460,69,13,190,1.5,35,1.1,20
"Seaweed, Nori, dried",Vegetables/Dried vegetables,per 100g edible portion,255,1.6,0.2,0.1,0.6,0,10.5,0.5,n.d.,36.3,31.5,5,0,6.5,4167,2083,0,25000,25000,0.58,1.91,0.53,n.d.,5.82,21.7,0.25,57.3,0.6,2.87,1730,1980,2970,320,490,520,37,5100,4.5,51
"Seeds, kernels, nuts (average), unsalted","Nuts, seeds and oleaginous fruit",per 100g edible portion,614,52.8,8.9,21.2,18.5,0,9.1,3.7,2.7,9.7,20.9,0,0,10.6,4,2,0,23,23,0.52,0.22,0.35,0,2.89,90.3,0.86,1.2,0,7.93,690,9.1,41,170,260,530,4.5,5.1,4,27
Seitan,Meat substitutes,per 100g edible portion,193,7.2,0.6,3.4,1.8,0,3,0.7,2.3,2.3,28,1.6,0,61.4,3,2,0,20,20,0.06,0.08,0.03,0,0.23,15,0.1,tr.,tr.,2.5,87,650,700,36,25,87,1.7,5,1.4,32
Semi-white bread,"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,240,1.1,0.1,0.1,0.5,0,46.4,0.4,45.6,3.7,9.4,1.7,0,40.2,0,0,0,0,0,0.15,0.07,0.19,0,0.79,21,0.38,0,0,0.29,150,680,1050,16,38,130,1.8,1.1,1.3,2.7
Semi-white bread (with iodized salt),"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,240,1.1,0.1,0.1,0.5,0,46.4,0.4,45.6,3.7,9.4,1.7,0,40.2,0,0,0,0,0,0.15,0.07,0.19,0,0.79,21,0.38,0,0,0.29,150,670,1050,16,38,130,1.8,44,1.3,2.7
"Semmeli (bread roll, white)","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,245,0.9,0.2,0.1,0.5,0,48.5,0.4,47.5,3,9.2,1.6,0,39.2,0,0,0,0,0,0.14,0.09,0.11,0,0.83,37,0.34,0,0,0.35,150,650,1000,10,22,91,1,0.9,0.8,2.5
"Semolina pudding, prepared (with full fat milk, without addition of sugar)",Sweets/Creams and puddings;Prepared dishes/Muesli and pudding,per 100g edible portion,93,3,1.7,0.7,0.2,12,11.8,4.8,6.9,0.3,4.6,0.2,0,80.3,36,34,33,15,15,0.02,0.19,0.03,0.15,0.3,7.3,0.36,0.4,0.1,0.1,170,73,160,130,13,110,0.1,11,0.6,n.d.
"Semolina pudding, prepared (with partially skimmed milk, without addition of sugar)",Sweets/Creams and puddings;Prepared dishes/Muesli and pudding,per 100g edible portion,93,3,1.7,0.7,0.2,12,11.8,4.8,6.9,0.3,4.6,0.2,0,80.3,36,34,33,15,15,0.02,0.19,0.03,0.15,0.3,7.3,0.36,0.4,0.1,0.1,170,73,160,130,13,110,0.1,11,0.6,n.d.
"Semolina slice, prepared (with full fat milk)",Prepared dishes/Other savoury dishes,per 100g edible portion,152,7.5,4,1.9,0.6,63,15,4,11,0.5,6,0.3,0,71.1,70,68,66,22,22,0.03,0.21,0.04,0.25,0.4,15.8,0.54,0.6,0.4,0.31,170,100,190,110,14,110,0.4,13,0.8,n.d.
"Semolina slice, prepared (with partially skimmed milk)",Prepared dishes/Other savoury dishes,per 100g edible portion,143,6.4,3.3,1.6,0.5,59,15,4,11,0.5,6.1,0.3,0,72.1,60,58,57,18,18,0.03,0.18,0.03,0.24,0.4,15.8,0.54,0.3,0.4,0.27,170,100,190,110,14,120,0.4,14,0.8,n.d.
Sesame oil,Fats and oils/Oils,per 100ml food volume,810,90,13.4,36.2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
Sesame seeds whole,"Nuts, seeds and oleaginous fruit",per 100g edible portion,619,53.8,7.4,19.4,21.1,0,4,1.2,0.2,13.3,23.1,0,0,4.3,0,0,0,0,0,0.75,0.22,0.34,0,4.61,171,0.34,0,0,0.25,500,1,10,930,330,620,7.7,<5,5.5,20
"Sesame seeds, peeled","Nuts, seeds and oleaginous fruit",per 100g edible portion,660,57.4,8.6,21.4,21.7,0,4.6,1.6,0.2,8.8,26.8,0.1,0,3.8,7,4,0,42,42,0.83,0.12,0.35,0,4.6,115,0.35,0,0,0.25,470,26,10,37,350,640,5.8,<5,5.8,56
"Shellfish (average), raw","Fish/Seafood, crustaceans and shellfish",per 100g edible portion,75,1,0.1,0.2,0.3,123,1,0,0.4,0,15.5,0.7,0,82.6,1,1,1,0,0,0.14,0.05,0.15,0.45,3.84,15.5,0.75,2,0,1.9,210,270,0,30,34,190,1.2,170,2.7,n.d.
"Sherry, 18.5 vol%",Alcoholic beverages/Wine,per 100ml food volume,118,0,0,0,0,0,3.6,3.6,tr.,0,0.1,0,14.8,80.7,0,0,0,0,0,0,0.01,0.02,0.1,0.08,1,0.04,0,0,0,89,6,7,9,8,7,0.5,10,0.3,n.d.
Short bread cookie (Sablé),Sweets/Cookies/Biscuits,per 100g edible portion,474,26.2,15.5,6.1,1.5,69,53.1,17.8,34.9,1.6,5.9,0.1,0,13.8,227,218,210,98,98,0.06,0.01,0.02,0,0.15,2.5,0.12,0,0.4,0.68,90,44,89,7.9,7.5,37,0.3,0.4,0.3,1.3
"Short pastry base (with butter), sweet, baked","Cereal products, pulses and potatoes/Dough",per 100g edible portion,530,28.6,16.3,6.9,1.9,126,57.3,13.2,43.6,2,9.8,0.9,0,3,261,252,244,106,106,0.11,0.07,0.11,0.21,0.2,10.4,0.52,0,0.9,1.1,140,350,540,20,24,120,1.3,7,1,5.3
"Short pastry base (with butter), sweet, raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,424,22.9,13.1,5.5,1.5,101,45.8,10.5,34.9,1.6,7.8,0.7,0,22.4,232,224,217,95,94,0.12,0.06,0.1,0.17,0.17,16.7,0.55,0,0.7,0.88,120,280,430,16,19,92,1,5.6,0.8,4.2
"Short pastry base (with vegetable fat), sweet, baked","Cereal products, pulses and potatoes/Dough",per 100g edible portion,494,24.9,11.2,9.8,2.8,26,58.4,17.8,40.2,1.9,8,0.3,0,7.5,7,7,7,0,0,0.1,0.04,0.09,0.1,0.18,7.2,0.34,0,0.2,2.44,120,130,220,12,21,86,1,3.5,0.7,3
"Short pastry base (with vegetable fat), sweet, raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,395,19.9,9,7.9,2.2,21,46.7,14.2,32.2,1.5,6.4,0.3,0,26,7,7,7,0,0,0.1,0.03,0.08,0.08,0.15,11.4,0.37,0,0.2,1.95,93,100,170,9.3,17,69,0.8,2.8,0.6,2.4
"Shrimp cocktail, prepared",Prepared dishes/Salads,per 100g edible portion,167,13.3,7.8,3.1,0.7,97,4,3.3,0.2,0.3,4.4,0.4,1.9,76.1,166,154,141,146,146,0.06,0.08,0.06,0.06,0.73,10.5,0.17,5.8,0.2,1.33,180,180,200,44,5.7,100,0.3,35,0.4,n.d.
"Shrimp, boiled","Fish/Seafood, crustaceans and shellfish",per 100g edible portion,46,0.5,0.1,0.1,0.2,158,1.3,0,0,0,9,0.4,0,89.2,2,2,2,0,0,0.11,0.07,0.06,0,1.47,10.3,0,0.8,0,2.18,170,170,0,32,0,180,0.3,86,0.8,n.d.
"Shrimp, raw","Fish/Seafood, crustaceans and shellfish",per 100g edible portion,56,0.6,0.1,0.1,0.2,150,1.2,tr.,0,0,11.4,0.5,0,85.5,2,2,2,0,0,0.14,0.09,0.08,tr.,2,14,tr.,1,tr.,2.3,210,190,tr.,30,tr.,210,0.3,91,0.8,n.d.
Skimmed milk powder,Milk and dairy products/Milk,per 100g edible portion,348,1,0.6,0.2,0,3,50.5,50.5,0,0,34.3,1.4,0,3.5,9,7,5,21,21,0.34,2.2,0.28,2.2,1.1,21,3.5,2,0,0.01,1580,560,1000,1290,110,1020,0.8,36,4.1,12
Soft caramel candies,"Sweets/Candies, fruits gums and chewing gum",per 100g edible portion,448,17.2,10.1,5.8,0.5,tr.,71.1,71.1,0,0,2.1,0.8,0,7.8,0,0,0,0,0,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,210,320,400,95,25,64,1.5,tr.,tr.,n.d.
Soft cheese (average without fat reduced products),Milk and dairy products/Soft cheese,per 100g edible portion,325,27.4,16.5,6.5,1.3,83,0,0,0,0,19.4,2.2,0,52.7,233,223,213,124,124,0.02,0.43,0.14,1.45,0.72,52.8,0.63,0,0.4,0.64,100,880,1180,440,20,310,0.2,17,2.2,n.d.
"Soft cheese, 45 to 54.9% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,296,23.7,14.2,5.6,1.1,72,0,0,0,0,20.6,1.8,0,52.5,233,222,211,135,135,0.02,0.36,0.17,1.4,0.63,48.5,0.78,0,0.5,0.6,81,730,1050,360,19,280,0.1,7.1,2.2,n.d.
"Soft cheese, 60% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,376,37.5,25.1,10.6,0.9,105,0,0,0,0,9.7,1.8,0,49.4,403,387,370,200,200,0.04,0.38,0.11,1.5,1.2,55,0.29,tr.,0.7,1.05,110,700,1200,270,15,230,0.3,20,2.3,n.d.
"Soft cheese, at least 55% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,347,30.9,18.5,7.3,1.5,93,0,0,0,0,17.4,1.3,0,48,240,228,215,150,150,0.02,0.64,0.14,1.47,1.1,68.2,0.51,0,0.6,0.69,110,520,520,420,18,300,0.2,11,2,n.d.
"Soft cheese, Mascarpone",Milk and dairy products/Fresh cheese and curds,per 100g edible portion,435,44.5,29.5,11.7,1.9,123,4.1,4.1,0,0,4.5,0.2,0,46.2,347,328,310,220,220,0.01,0.26,0.04,0.33,0.1,11,0.41,tr.,0.5,1,53,86,tr.,68,tr.,97,0.2,29,0.4,n.d.
"Soft drink, with flavor, sweetened",Non-alcoholic beverages/Soft drinks,per 100ml food volume,38,0,0,0,0,0,9.5,9.5,0,0,0,0,0,90,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,8,3,11,5,11,1,0.1,1.8,0,n.d.
"Somosa, baked",Prepared dishes/Asian dishes,per 100g edible portion,353,21,8,9.3,2.8,0,32.7,2.3,29.9,3.5,6.6,0.9,0,36.6,23,11,0,135,135,0.19,0.06,0.13,0,0.96,23.3,0.38,10.4,0,2.11,240,350,560,16,28,94,1.1,2.8,0.7,0.9
"Sorbet, fruit",Sweets/Water based ice cream,per 100g edible portion,137,0,0,0,0,0,32.1,32.1,0,0.4,0.2,0,0.9,65.8,3,1,0,16,16,0.02,0.01,0.01,0,0.07,5,0.05,10,0,0.05,41,1,3,12,4,6,0.2,2.6,0.1,n.d.
Sour cream (crème fraîche) 35% fat,Fats and oils/Cream;Milk and dairy products/Cream and butter,per 100g edible portion,336,35,21,8.2,1.6,105,2.8,2.8,0,0,2.4,0.1,0,58,207,201,195,73,73,0.02,0.17,0.03,0.19,0.2,23,0.26,tr.,0.4,0.7,100,30,50,73,7,64,0.1,9,0.3,n.d.
Sour cream 15% fat,Fats and oils/Cream;Milk and dairy products/Cream and butter,per 100g edible portion,173,16.6,10.8,4.3,0.8,50,3.2,3.2,0,0,2.7,0.1,0,77.3,207,198,189,105,105,0.04,0.2,0.04,0.23,0.1,11,0.29,tr.,0.3,0.45,130,40,70,100,11,80,0.1,11,0.4,n.d.
Soy sauce,Various/Sauces,per 100g edible portion,56,0.6,0.1,0.1,0.3,0,4.1,0.4,tr.,0.8,8.1,14,0,71.2,0,0,0,0,0,0.03,0.17,0.15,0,2.2,14,0.3,0,0,0,440,5490,8200,33,74,170,1.5,1,0.9,0.5
"Soya drink, plain",Milk and dairy products/Milk substitutes,per 100ml food volume,43,2.1,0.3,0.4,1.1,0,1.5,1.4,0.1,0.6,4.2,0.1,0,92.6,0,0,tr.,2,2,0.04,0.01,0.04,0,0.17,17.7,0.12,tr.,0,0.21,160,23,12,12,20,50,0.5,1.3,0.3,1
"Soya drink, plain, with calcium and vitamin fortified",Milk and dairy products/Milk substitutes,per 100ml food volume,43,2.1,0.3,0.4,1.1,0,1.5,1.4,0.1,0.6,4.2,0.1,0,92.6,0,0,tr.,2,2,0.04,0.16,0.04,0.29,0.17,17.7,0.12,tr.,0.6,0.21,160,23,12,120,20,81,0.5,1.3,0.3,1
"Soya flour, defatted","Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,296,1.2,0.2,0.2,0.7,0,7.5,7.4,0,24.5,51.5,0.1,0,14.2,4,2,0,24,24,0.69,0.25,0.57,0,2.6,303,1.98,0,0,0.04,2400,20,130,240,300,670,9.2,0.8,2.5,1.7
"Soya flour, full fat","Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,398,20.6,2.7,3.5,12.1,0,3.1,3.1,0,18.5,40.8,0,0,12.5,11,6,0,66,66,0.77,0.28,0.51,0,2.2,190,1.8,0,0,0.64,1870,4,110,200,250,550,12,0.5,4.9,7
